ID,ControlGroupArea,Panel,OriginInterlocking,OriginSignal,Route,Exit,DestinationPlatform,DestinationLineName,DestinationDirectionOfMoveUpDn,Class,ARS,Notes,OverSetting,PreferredRouteOption,TipLocOriginate,RouteElectrified,OriginPlatform,TipLocDestination,TipLocIntermediate,OriginLineName,EntryDateTime,TraversalTimes
869,CAG4,6,PP,S420,R420BM,S416,NULL,UML,Up,M,1,NULL,1,NULL,PRSP,E,1,NULL,NULL,UV,2021-02-16 11:49:33.723,20
870,CAG4,6,PP,S420,R420CM,S370X,2,DML,Up,M,1,NULL,0,NULL,PRSP,E,1,BURGESH,NULL,UV,2021-02-16 11:49:33.723,20
871,CAG4,6,PP,S421,R421AM,S425,3,DML,Dn,M,1,NULL,1,NULL,NULL,E,NULL,PRSP,NULL,DML,2021-02-16 11:49:33.723,20
872,CAG4,6,PP,S421,R421BM,S427,2,UML,Dn,M,1,NULL,1,NULL,NULL,E,NULL,PRSP,NULL,DML,2021-02-16 11:49:33.723,20
873,CAG4,6,PP,S421,R421CM,S429,1,UV,Dn,M,1,NULL,1,NULL,NULL,E,NULL,PRSP,NULL,DML,2021-02-16 11:49:33.723,20
874,CAG4,6,PP,S422,R422AM,S416,NULL,UML,Up,M,1,NULL,1,NULL,PRSP,E,2,NULL,NULL,UML,2021-02-16 11:49:33.723,20
875,CAG4,6,PP,S422,R422BM,S370X,2,DML,Up,M,1,NULL,0,NULL,PRSP,E,2,BURGESH,NULL,UML,2021-02-16 11:49:33.723,20
876,CAG4,6,PP,S423X,R423XAM,S427,2,UML,Dn,M,1,NULL,1,NULL,NULL,E,NULL,PRSP,NULL,UML,2021-02-16 11:49:33.723,20
877,CAG4,6,PP,S423X,R423XBM,S429,1,UV,Dn,M,1,NULL,1,NULL,NULL,E,NULL,PRSP,NULL,UML,2021-02-16 11:49:33.723,20
878,CAG4,6,PP,S425,R425AM,S431,NULL,NULL,Dn,M,1,NULL,1,NULL,PRSP,E,3,NULL,NULL,DML,2021-02-16 11:49:33.723,20
